,Brand,Model,Mileage,Year,Price,Price Drop
0,Mercedes-Benz,GLE,46542,2018,39901,FALSE
1,Mercedes-Benz,GLC,31021,2019,37904,FALSE
2,Mercedes-Benz,C-Class,41829,2018,31901,FALSE
3,Lexus,RX,30429,2019,37969,FALSE
4,Lexus,IS,45675,2018,29569,FALSE
5,Mercedes-Benz,C-Class,20685,2018,32903,FALSE
6,Mercedes-Benz,GLC,18386,2019,39903,FALSE
7,Honda,Accord,112040,2017,17595,FALSE
8,Mercedes-Benz,GLC,38815,2019,38901,FALSE
9,Ferrari,612 Scaglietti,15104,2005,110500,FALSE
10,Mercedes-Benz,GLC,13435,2019,41901,FALSE
11,Toyota,4Runner,100040,2011,19995,FALSE
12,Mercedes-Benz,GLE,31393,2018,43901,FALSE
13,Nissan,Rogue,45032,2018,17995,FALSE
14,Ford,F-150,71894,2014,19942,FALSE
15,Mercedes-Benz,S-Class,115225,2008,11995,FALSE
16,Mercedes-Benz,GLC,10662,2021,48950,FALSE
17,Toyota,RAV4,17091,2019,31969,FALSE
18,Mercedes-Benz,GLE,13753,2019,71903,FALSE
19,Mercedes-Benz,CLA,41742,2018,26906,FALSE
20,Lexus,GX,6804,2021,54869,FALSE
21,Mercedes-Benz,CLA,31553,2018,27903,FALSE
22,Nissan,Altima,93700,2021,15997,FALSE
23,Nissan,Rogue,40761,2020,21995,FALSE
24,Volkswagen,Jetta,1314,2019,21829,FALSE
25,Lexus,ES,96623,2014,17995,FALSE
26,Mercedes-Benz,C-Class,13577,2019,38901,FALSE
27,Toyota,Camry,48170,2018,20995,FALSE
28,Lexus,RX,9822,2018,39869,FALSE
29,Mercedes-Benz,GLS,45139,2019,59901,FALSE
30,Mercedes-Benz,GLE,46542,2018,39901,FALSE
31,Mercedes-Benz,GLC,31021,2019,37904,FALSE
32,Mercedes-Benz,C-Class,41829,2018,31901,FALSE
33,Lexus,RX,30429,2019,37969,FALSE
34,Lexus,IS,45675,2018,29569,FALSE
35,Mercedes-Benz,C-Class,20685,2018,32903,FALSE
36,Mercedes-Benz,GLC,18386,2019,39903,FALSE
37,Honda,Accord,112040,2017,17595,FALSE
38,Mercedes-Benz,GLC,38815,2019,38901,FALSE
39,Ferrari,612 Scaglietti,15104,2005,110500,FALSE
40,Mercedes-Benz,GLC,13435,2019,41901,FALSE
41,Toyota,4Runner,100040,2011,19995,FALSE
42,Mercedes-Benz,GLE,31393,2018,43901,FALSE
43,Nissan,Rogue,45032,2018,17995,FALSE
44,Ford,F-150,71894,2014,19942,FALSE
45,Mercedes-Benz,S-Class,115225,2008,11995,FALSE
46,Mercedes-Benz,GLC,10662,2021,48950,FALSE
47,Toyota,RAV4,17091,2019,31969,FALSE
48,Mercedes-Benz,GLE,13753,2019,71903,FALSE
49,Mercedes-Benz,CLA,41742,2018,26906,FALSE
50,Lexus,GX,6804,2021,54869,FALSE
51,Mercedes-Benz,CLA,31553,2018,27903,FALSE
52,Nissan,Altima,93700,2021,15997,FALSE
53,Nissan,Rogue,40761,2020,21995,FALSE
54,Volkswagen,Jetta,1314,2019,21829,FALSE
55,Lexus,ES,96623,2014,17995,FALSE
56,Mercedes-Benz,C-Class,13577,2019,38901,FALSE
57,Toyota,Camry,48170,2018,20995,FALSE
58,Lexus,RX,9822,2018,39869,FALSE
59,Mercedes-Benz,GLS,45139,2019,59901,FALSE
60,Ford,F-150,165282,2013,17999,FALSE
61,Mercedes-Benz,GLC,9246,2021,44500,FALSE
62,Mercedes-Benz,GLC,11933,2021,44500,FALSE
63,Mercedes-Benz,GLA,34871,2019,33903,FALSE
64,Lexus,ES,23718,2018,32469,FALSE
65,Jeep,Grand Cherokee,66315,2018,35500,FALSE
66,Mercedes-Benz,A-Class,10306,2021,38493,FALSE
67,Mercedes-Benz,GLC,2123,2021,49901,FALSE
68,Mercedes-Benz,E-Class,15377,2018,61902,FALSE
69,Lexus,RX,72044,2018,33469,FALSE
70,Ram,ProMaster City Wagon,102358,2017,17995,FALSE
71,Jeep,Grand Cherokee,255314,2017,16985,FALSE
72,Porsche,Macan,2539,2021,57995,FALSE
73,Lexus,GX,28528,2019,44969,FALSE
74,Mercedes-Benz,GLE,42197,2019,46901,FALSE
75,Nissan,Rogue,69043,2019,17540,FALSE
76,Lexus,GX,31917,2019,44869,FALSE
77,Lexus,RX,32546,2017,34469,FALSE
78,Mercedes-Benz,C-Class,1318,2021,48901,FALSE
79,Lexus,RX,9357,2018,39069,FALSE
80,Mercedes-Benz,E-Class,25147,2018,56902,FALSE
81,Jeep,Cherokee,27179,2019,28886,FALSE
82,Lexus,RX,26515,2019,40969,FALSE
83,Lexus,ES,23365,2019,38469,FALSE
84,Mercedes-Benz,C-Class,19350,2019,38901,FALSE
85,BMW,X3,135271,2004,2995,FALSE
86,Jeep,Grand Cherokee,18546,2018,34886,FALSE
87,Mercedes-Benz,E-Class,8691,2019,50901,FALSE
88,Subaru,Outback,22767,2018,21895,FALSE
89,Lexus,RX,26350,2018,37469,FALSE
90,Jeep,Grand Cherokee,68056,2019,26995,FALSE
91,Lexus,RX,34271,2018,37469,FALSE
92,Toyota,Camry,28585,2018,24995,FALSE
93,Ram,1500,37027,2019,48886,FALSE
94,Lexus,RX,11850,2018,39569,FALSE
95,Ram,1500,125593,2014,17995,FALSE
96,Lexus,RX,13483,2018,40869,FALSE
97,Volvo,C70,159714,2010,7450,FALSE
98,Lexus,NX,23444,2019,34869,FALSE
99,Mercedes-Benz,GLE,42613,2018,61595,FALSE
100,Mercedes-Benz,GLS,37700,2017,59904,FALSE
101,Mercedes-Benz,S-Class,30913,2018,71901,FALSE
102,Jeep,Grand Cherokee,35302,2018,29495,FALSE
103,Honda,HR-V,106701,2019,16995,FALSE
104,Mercedes-Benz,E-Class,13499,2019,59901,FALSE
105,Mercedes-Benz,GLC,10759,2021,49670,FALSE
106,Volkswagen,Passat,96390,2016,12995,FALSE
107,Nissan,Altima,20208,2018,20569,FALSE
108,Jeep,Patriot,66901,2014,12995,FALSE
109,Mercedes-Benz,C-Class,18658,2020,54906,FALSE
110,Mercedes-Benz,Metris Passenger Van,26541,2018,36901,FALSE
111,Jeep,Grand Cherokee,46349,2018,28995,FALSE
112,Porsche,Cayenne,22628,2019,70901,FALSE
113,Mercedes-Benz,E-Class,10959,2021,58070,FALSE
114,Lexus,GX,28139,2019,44969,FALSE
115,Nissan,Sentra,115115,2015,7550,FALSE
116,Mercedes-Benz,S-Class,35000,2019,79901,FALSE
117,Acura,ZDX,117791,2013,18995,FALSE
118,Mercedes-Benz,C-Class,46935,2011,13838,FALSE
119,Mercedes-Benz,CLA,33515,2018,29903,FALSE
120,Jeep,Grand Cherokee,71290,2019,26995,FALSE
121,Mercedes-Benz,C-Class,12804,2021,48470,FALSE
122,Toyota,Corolla,79595,2016,13995,FALSE
123,Hyundai,Elantra,46453,2020,17797,FALSE
124,Jeep,Wrangler,54650,2016,29286,FALSE
125,Chevrolet,Malibu,56240,2020,20397,FALSE
126,Lexus,NX,28228,2019,33969,FALSE
127,Mercedes-Benz,GLS,20875,2018,70902,FALSE
128,Nissan,Rogue,39043,2019,24739,FALSE
129,Mercedes-Benz,GLE,28454,2018,44901,FALSE
130,Kia,Soul,65417,2019,15897,FALSE
131,Mercedes-Benz,GLC,36912,2019,37886,FALSE
132,Chrysler,200,57145,2015,13542,FALSE
133,Volkswagen,Jetta,27659,2017,16686,FALSE
134,Porsche,Macan,27364,2017,43995,FALSE
135,BMW,3 Series,66700,2016,17995,FALSE
136,Lexus,NX,55872,2019,33569,FALSE
137,Mercedes-Benz,E-Class,22467,2018,63902,FALSE
138,Mercedes-Benz,GLC,26130,2018,36903,FALSE
139,Chrysler,Pacifica,31820,2018,26995,FALSE
140,Mercedes-Benz,S-Class,24946,2019,82901,FALSE
141,Dodge,Durango,30898,2018,34495,FALSE
142,Mercedes-Benz,GLA,7444,2019,36901,FALSE
143,Chevrolet,Malibu,38855,2020,21297,FALSE
144,BMW,X5,38925,2015,30995,FALSE
145,BMW,4 Series,33311,2019,36450,FALSE
146,INFINITI,QX60,25841,2018,32490,FALSE
147,Audi,A4,46881,2018,29886,FALSE
148,Toyota,Corolla,37091,2020,19797,FALSE
149,Mercedes-Benz,GLS,50372,2017,41686,FALSE
150,Toyota,Corolla,44098,2020,19197,FALSE
151,Nissan,Rogue,30606,2019,22595,FALSE
152,Hyundai,Sonata,34240,2019,18495,FALSE
153,Nissan,Pathfinder,125923,2018,16995,FALSE
154,Lexus,RX,37100,2019,40686,FALSE
155,Nissan,Sentra,73033,2019,14995,FALSE
156,Mercedes-Benz,GLE,18234,2017,42901,FALSE
157,Nissan,Rogue,43179,2018,20995,FALSE
158,Toyota,Camry,31812,2019,23995,FALSE
159,Mercedes-Benz,GLC,21840,2019,38886,FALSE
160,Mercedes-Benz,GLC,12141,2021,50305,FALSE
161,Land Rover,Range Rover,74332,2011,19995,FALSE
162,Ford,Fusion,44520,2019,20997,FALSE
163,Mercedes-Benz,C-Class,30913,2018,33901,FALSE
164,Volvo,XC60,25085,2019,38323,FALSE
165,Honda,Accord,109710,2015,14995,FALSE
166,Mercedes-Benz,Sprinter Cargo Van,9705,2020,48146,FALSE
167,Jeep,Compass,153503,2015,9485,FALSE
168,Mercedes-Benz,E-Class,7900,2021,63901,FALSE
169,Toyota,4Runner,30177,2021,49869,FALSE
170,Porsche,Macan,25925,2018,49500,FALSE
171,Mercedes-Benz,GLC,46357,2017,34903,FALSE
172,Subaru,Crosstrek,65282,2018,22995,FALSE
173,Porsche,Macan,4114,2021,59995,FALSE
174,Honda,Accord,46612,2017,19995,FALSE
175,Hyundai,Tucson,59636,2007,7250,FALSE
176,Porsche,Macan,17594,2019,55500,FALSE
177,Volvo,XC90,11880,2019,49694,FALSE
178,Porsche,Macan,35563,2018,47995,FALSE
179,Dodge,Journey,11644,2019,21995,FALSE
180,Nissan,Rogue,33834,2018,23488,FALSE
181,Volvo,XC60,42015,2019,36244,FALSE
182,INFINITI,Q50,45869,2018,24998,FALSE
183,Honda,HR-V,28304,2019,23995,FALSE
184,Nissan,Rogue,28053,2018,23998,FALSE
185,Jeep,Compass,43100,2020,25197,FALSE
186,Volkswagen,Atlas,143385,2018,19590,FALSE
187,Volvo,XC60,16318,2019,44594,FALSE
188,Mercedes-Benz,CLS,51340,2014,30995,FALSE
189,Ford,Mustang,34406,2020,26495,FALSE
190,Jeep,Renegade,41233,2018,18995,FALSE
191,Kia,Forte,104968,2015,8995,FALSE
192,Audi,Q5,56824,2015,23686,FALSE
193,Mercedes-Benz,GLC,38374,2019,38901,FALSE
194,Mercedes-Benz,SLC,10080,2019,49995,FALSE
195,Nissan,Rogue,20841,2018,23998,FALSE
