,Brand,Model,Mileage,Year,Price,Price Drop
0,Mazda,CX-5,92016,2019,21997,FALSE
1,Toyota,Corolla,26005,2020,23407,FALSE
2,Honda,Civic,25021,2017,19957,FALSE
3,BMW,3 Series,17744,2018,28418,FALSE
4,BMW,3 Series,22314,2018,35767,FALSE
5,BMW,X3,19127,2019,36417,FALSE
6,Mercedes-Benz,GLC,36877,2018,33267,FALSE
7,Mercedes-Benz,C-Class,32601,2018,28357,FALSE
8,Toyota,Camry,58837,2018,21267,FALSE
9,MINI,Countryman,16855,2019,29877,FALSE
10,Jeep,Grand Cherokee,28564,2018,30847,FALSE
11,BMW,X5,13119,2019,57427,FALSE
12,BMW,X5,34695,2019,53887,FALSE
13,Nissan,Sentra,35236,2019,19995,FALSE
14,Acura,RDX,23469,2019,32757,FALSE
15,BMW,3 Series,26977,2018,29295,FALSE
16,BMW,X2,25898,2018,27897,FALSE
17,BMW,3 Series,9746,2021,40795,FALSE
18,BMW,X3,33819,2019,38995,FALSE
19,BMW,X5,28515,2019,56487,FALSE
20,BMW,3 Series,30712,2021,38797,FALSE
21,BMW,X1,28253,2018,26697,FALSE
22,BMW,3 Series,24019,2018,37495,FALSE
23,BMW,4 Series,54645,2015,26995,FALSE
24,BMW,i3,27600,2018,26495,FALSE
25,Toyota,Prius c,91500,2013,11000,FALSE
26,BMW,5 Series,32586,2018,34417,FALSE
27,BMW,X5,24512,2018,42427,FALSE
28,Jeep,Wrangler,8977,2018,34795,FALSE
29,BMW,X3,27795,2019,36995,FALSE
30,BMW,3 Series,10062,2021,39795,FALSE
31,BMW,X5,25683,2015,33495,FALSE
32,BMW,X3,17699,2019,38887,FALSE
33,BMW,X2,26341,2018,29295,FALSE
34,BMW,5 Series,41869,2018,35227,FALSE
35,BMW,5 Series,34810,2018,39647,FALSE
36,BMW,X5,20937,2019,58995,FALSE
37,Lexus,RX,12611,2019,44995,FALSE
38,Toyota,Corolla,82583,2017,16877,FALSE
39,Dodge,Charger,7633,2020,37987,FALSE
40,Honda,CR-V,27934,2019,27991,FALSE
41,Mercedes-Benz,CLA,30473,2016,23798,FALSE
42,BMW,X1,27092,2018,28488,FALSE
43,Mercedes-Benz,CLA,23840,2019,31995,FALSE
44,Volkswagen,Tiguan,34299,2018,25967,FALSE
45,Tesla,Model 3,43067,2018,47995,FALSE
46,BMW,X3,18686,2019,40595,FALSE
47,Mazda,CX-5,80456,2018,22967,FALSE
48,Mercedes-Benz,C-Class,18875,2019,35995,FALSE
49,BMW,3 Series,8722,2021,40295,FALSE
50,BMW,i3,52810,2017,22637,FALSE
51,Lexus,ES,52623,2017,29327,FALSE
52,Honda,Civic,12012,2020,26995,FALSE
53,Lexus,GX,229500,2004,9500,FALSE
54,Lexus,IS,84635,2014,22995,FALSE
55,BMW,3 Series,25971,2020,36447,FALSE
56,Honda,Accord,63290,2013,17795,FALSE
57,Lexus,CT,106648,2014,16295,FALSE
58,Honda,Civic,93952,2014,14795,FALSE
59,BMW,5 Series,24047,2018,36677,FALSE
60,Mazda,CX-5,78090,2016,17927,FALSE
61,BMW,X5,50318,2018,42337,FALSE
62,Nissan,Maxima,61296,2018,22817,FALSE
63,BMW,2 Series,8784,2021,34795,FALSE
64,BMW,3 Series,62180,2013,21487,FALSE
65,BMW,5 Series,26430,2018,56595,FALSE
66,Porsche,Macan,36455,2018,48497,FALSE
67,Mercedes-Benz,GLC,7132,2020,48795,FALSE
68,BMW,i3,13133,2019,31595,FALSE
69,BMW,4 Series,33214,2019,34595,FALSE
70,BMW,5 Series,24047,2018,36447,FALSE
71,Mazda,Mazda3,34710,2018,22795,FALSE
72,Scion,iA,79380,2016,13995,FALSE
73,Lexus,RC,28415,2019,41995,FALSE
74,BMW,X3,28422,2018,36995,FALSE
75,BMW,3 Series,29648,2018,36995,FALSE
76,Honda,CR-V,17128,2016,25395,FALSE
77,Subaru,Outback,43293,2019,30495,FALSE
78,Kia,Forte,11984,2020,22767,FALSE
79,FIAT,500e,7052,2018,16530,FALSE
80,Audi,A5,35650,2018,34827,FALSE
81,Toyota,Sienna,37365,2018,36887,FALSE
82,Ford,Edge,39486,2017,22595,FALSE
83,BMW,3 Series,33506,2018,37337,FALSE
84,Jeep,Grand Cherokee,14587,2019,36877,FALSE
85,Tesla,Model S,34906,2016,72727,FALSE
86,Audi,S5,53013,2011,21495,FALSE
87,BMW,X6,18423,2018,52995,FALSE
88,Mercedes-Benz,E-Class,34789,2017,32767,FALSE
89,BMW,3 Series,84155,2009,9579,FALSE
90,BMW,X5,38216,2018,44495,FALSE
91,BMW,4 Series,19540,2019,34268,FALSE
92,Audi,Q5,43140,2016,27995,FALSE
93,BMW,X6,90606,2018,41995,FALSE
94,Honda,Accord,101398,2009,10600,FALSE
95,BMW,4 Series,11182,2021,45995,FALSE
96,MINI,Countryman,21584,2019,29787,FALSE
97,Honda,Accord,10265,2017,25995,FALSE
98,Mercedes-Benz,CLA,53002,2014,20767,FALSE
99,BMW,X5,26392,2019,68795,FALSE
100,Audi,Q5,10762,2019,45595,FALSE
101,BMW,3 Series,28445,2020,36717,FALSE
102,Volkswagen,Tiguan,30445,2018,25995,FALSE
103,Mercedes-Benz,C-Class,6774,2020,41995,FALSE
104,Toyota,Camry,89022,2019,22217,FALSE
105,Toyota,Prius Prime,41879,2018,27995,FALSE
106,BMW,4 Series,23685,2019,38967,FALSE
107,BMW,i3,35037,2018,27827,FALSE
108,Toyota,Camry,49953,2019,23867,FALSE
109,Toyota,Prius c,20010,2012,14995,FALSE
110,BMW,3 Series,10591,2018,31495,FALSE
111,Toyota,Camry,91465,2019,20500,FALSE
112,BMW,i3,29782,2019,27297,FALSE
113,FIAT,500e,6799,2018,16520,FALSE
114,Lexus,GX,205322,2004,10999,FALSE
115,BMW,X5,15256,2018,48795,FALSE
116,Mercedes-Benz,GLC,76572,2016,24888,FALSE
117,Nissan,Sentra,9832,2020,23495,FALSE
118,BMW,i3,26029,2018,27295,FALSE
119,BMW,5 Series,22269,2021,54995,FALSE
120,Ford,Fusion,58580,2016,18965,FALSE
121,BMW,4 Series,16875,2021,61728,FALSE
122,BMW,X3,30034,2019,39795,FALSE
123,Ford,Escape,19766,2020,25787,FALSE
124,BMW,X7,4154,2019,82997,FALSE
125,Tesla,Model S,39807,2018,57990,FALSE
126,BMW,2 Series,1736,2021,44617,FALSE
127,BMW,8 Series,27197,2019,83477,FALSE
128,Mercedes-Benz,GLC,46466,2016,30417,FALSE
129,BMW,i8,16194,2019,107817,FALSE
130,BMW,X6 M,16245,2021,118598,FALSE
131,Tesla,Model 3,17885,2018,46992,FALSE
132,BMW,X7,51352,2019,81795,FALSE
133,BMW,X3 M,9887,2021,78995,FALSE
134,BMW,3 Series,9944,2021,40495,FALSE
135,BMW,X5,23549,2019,58995,FALSE
136,Mercedes-Benz,C-Class,18247,2019,36595,FALSE
137,BMW,X3,27754,2019,39398,FALSE
138,GMC,Acadia,108077,2013,14495,FALSE
139,Mercedes-Benz,E-Class,17830,2019,44587,FALSE
140,FIAT,500e,17784,2018,16535,FALSE
141,BMW,X5,20275,2019,69995,FALSE
142,Ford,Focus,64493,2017,15795,FALSE
143,Jeep,Patriot,115344,2015,10717,FALSE
144,Ford,F-150,86391,2017,28998,FALSE
145,BMW,X3,36133,2018,36800,FALSE
146,Ford,Explorer,91559,2014,17994,FALSE
147,Honda,Odyssey,96285,2012,14595,FALSE
148,Lexus,IS,35551,2019,31998,FALSE
149,BMW,2 Series,7079,2021,46217,FALSE
150,Ford,Fusion,56263,2016,17985,FALSE
151,Subaru,Forester,6470,2021,34995,FALSE
152,BMW,3 Series,10057,2021,44995,FALSE
153,Lexus,RX,1644,2021,54297,FALSE
154,BMW,5 Series,23430,2018,44995,FALSE
155,FIAT,500,59727,2013,9595,FALSE
156,BMW,X3,13402,2021,48995,FALSE
157,Subaru,BRZ,39552,2014,23295,FALSE
158,Porsche,Macan,50550,2017,44997,FALSE
159,BMW,X3,30520,2019,39595,FALSE
160,Chevrolet,Volt,27676,2018,23335,FALSE
161,BMW,X5,17772,2019,58767,FALSE
162,BMW,3 Series,34806,2018,37797,FALSE
163,BMW,X3,28139,2018,36897,FALSE
164,Chevrolet,Corvette,851,2021,109995,FALSE
165,INFINITI,FX,114956,2012,14967,FALSE
166,Toyota,C-HR,21611,2019,25988,FALSE
167,Honda,Civic,124658,2015,11000,FALSE
168,BMW,M4,6651,2021,89995,FALSE
169,Dodge,Challenger,23473,2019,29991,FALSE
170,BMW,X3,18253,2019,40295,FALSE
171,Honda,Fit,112244,2017,12919,FALSE
172,BMW,X3,66169,2019,33117,FALSE
173,BMW,3 Series,8465,2018,31795,FALSE
174,BMW,i3,18569,2019,30217,FALSE
175,BMW,X5,18598,2018,49295,FALSE
176,FIAT,500e,23725,2018,16335,FALSE
177,Hyundai,Elantra,28437,2017,18595,FALSE
178,Mazda,Mazda3,49251,2017,19500,FALSE
179,FIAT,500e,17647,2018,15425,FALSE
180,BMW,X3,34582,2019,48895,FALSE
181,Ford,Ranger,47137,2020,37395,FALSE
182,Honda,Accord,61241,2018,26992,FALSE
183,Honda,Civic,12622,2020,47995,FALSE
184,Audi,A3,22575,2018,30767,FALSE
185,BMW,2 Series,19060,2020,34795,FALSE
186,Toyota,Corolla,61078,2019,20988,FALSE
187,Toyota,Tacoma,43579,2018,34988,FALSE
188,BMW,5 Series,21459,2020,42995,FALSE
189,Honda,Accord,36065,2020,30995,FALSE
190,Honda,Civic,15188,2021,28095,FALSE
191,Audi,S6,4140,2021,79637,FALSE
192,Toyota,Prius,62519,2015,19995,FALSE
193,Toyota,Highlander,62171,2016,31988,FALSE
194,Toyota,Tacoma,59640,2017,37197,FALSE
195,MINI,Hardtop,13592,2019,24995,FALSE
196,BMW,i3,40939,2018,25407,FALSE
197,BMW,i3,17000,2018,28957,FALSE
198,BMW,X5,30953,2018,46595,FALSE
199,BMW,3 Series,19703,2018,31988,FALSE
200,Jeep,Compass,24620,2018,24998,FALSE
201,Toyota,Corolla,44790,2020,22295,FALSE
202,BMW,X1,22235,2020,35995,FALSE
203,Nissan,Sentra,63442,2019,19995,FALSE
204,Nissan,Versa,57362,2019,15999,TRUE
205,Ford,Ranger,44786,2019,28992,FALSE
206,Ford,Escape,55821,2019,23592,FALSE
207,BMW,5 Series,51718,2018,47757,FALSE
208,BMW,i3,50543,2014,15990,FALSE
209,Toyota,RAV4,59387,2018,25998,FALSE
210,Chevrolet,Traverse,17113,2020,47997,FALSE
211,Audi,A4,112000,2011,7013,FALSE
212,Hyundai,Elantra,44986,2019,18988,FALSE
213,Ford,Mustang,81542,2019,24491,FALSE
214,BMW,4 Series,40442,2019,41267,FALSE
215,BMW,5 Series,39308,2018,41777,FALSE
216,Ford,Mustang,29721,2019,28992,FALSE
217,Genesis,G80,4630,2021,51495,FALSE
218,Nissan,370Z,33735,2017,28595,FALSE
219,Chevrolet,Volt,81465,2015,14990,FALSE
220,Hyundai,Elantra,200684,2016,8999,FALSE
221,Toyota,RAV4,20351,2018,26998,FALSE
222,Subaru,Forester,34676,2019,34595,FALSE
223,Chevrolet,Malibu,55333,2019,21998,FALSE
224,FIAT,500e,25480,2018,16335,FALSE
225,Ford,Fiesta,25314,2018,14192,FALSE
226,Ford,Mustang,4475,2019,48997,FALSE
227,Kia,Stinger,10328,2020,37437,FALSE
228,Honda,Accord,15905,2019,31992,FALSE
229,MINI,Hardtop,44703,2019,25967,FALSE
230,Toyota,Corolla,19628,2020,24998,FALSE
231,Volkswagen,Golf GTI,1062,2021,31947,FALSE
232,Porsche,Macan,12851,2020,56595,FALSE
233,Hyundai,Santa Fe,14290,2020,37997,FALSE
234,Mercedes-Benz,C-Class,13169,2018,36995,FALSE
235,Ford,Explorer,25910,2018,38992,FALSE
236,BMW,X5,27619,2018,45687,FALSE
237,Nissan,Frontier,55028,2017,23992,FALSE
238,Honda,Clarity,45228,2018,26492,FALSE
239,Toyota,Camry,44343,2019,23934,FALSE
240,BMW,M3,27865,2018,67495,FALSE
241,Honda,Civic,42600,2019,21500,FALSE
242,BMW,4 Series,9325,2021,46795,FALSE
243,Ford,Mustang,41419,2020,33397,FALSE
244,Jeep,Wrangler,109952,2016,24700,FALSE
245,BMW,3 Series,60705,2013,20995,FALSE
246,Lexus,ES,27056,2019,37998,FALSE
247,Volkswagen,Atlas,24655,2018,32595,FALSE
248,Nissan,LEAF,50359,2015,11985,FALSE
249,Toyota,Corolla,5801,2021,25988,FALSE
250,BMW,X5,36377,2016,36495,FALSE
251,Hyundai,Sonata,49995,2016,18998,FALSE
252,Honda,Civic,48822,2018,22980,FALSE
253,Nissan,Versa,70000,2016,8000,FALSE
254,Toyota,Corolla,38339,2020,19697,FALSE
255,Toyota,Corolla,13525,2021,26988,FALSE
256,GMC,Yukon,20281,2019,69995,FALSE
257,Honda,Passport,23249,2019,31992,FALSE
258,Land Rover,Range Rover Sport,37017,2018,67995,FALSE
259,Honda,Accord,46410,2017,27998,FALSE
260,Lexus,IS,62306,2016,25999,FALSE
261,Tesla,Model 3,31518,2018,43998,FALSE
262,FIAT,500e,24390,2018,16335,FALSE
263,Chevrolet,Silverado 1500,3967,2021,42995,FALSE
264,BMW,3 Series,56292,2008,13995,FALSE
265,Lexus,RX,31856,2019,43995,FALSE
266,BMW,i3,56136,2015,14990,FALSE
267,Kia,Soul EV,36301,2017,15935,FALSE
268,Honda,Accord,24137,2019,26980,FALSE
269,Honda,Civic,47390,2018,24492,FALSE
270,MINI,Countryman,65507,2019,28995,FALSE
271,Toyota,Corolla,54569,2020,21999,TRUE
272,Toyota,Corolla,48964,2019,22595,FALSE
273,Jeep,Grand Cherokee,27438,2019,41998,FALSE
274,Honda,Accord,16054,2021,32998,FALSE
275,Jeep,Cherokee,13783,2019,33998,FALSE
276,Chrysler,Pacifica,12175,2018,42517,FALSE
277,Ford,Explorer,31670,2020,35992,FALSE
278,Toyota,Sienna,27072,2018,36493,FALSE
279,Hyundai,Elantra,16284,2019,21998,FALSE
280,Ford,Edge,49734,2018,26977,FALSE
281,BMW,X1,9938,2021,37795,FALSE
282,Lexus,ES,40327,2018,30988,FALSE
283,BMW,X3,61726,2018,43495,FALSE
284,Nissan,Altima,37757,2020,21197,FALSE
285,Honda,Accord,77397,2016,19480,FALSE
286,Chevrolet,Silverado 1500,14959,2020,45998,FALSE
287,BMW,M3,13857,2018,68697,FALSE
288,Jeep,Renegade,19394,2019,24228,FALSE
289,BMW,7 Series,17647,2019,65427,FALSE
290,Nissan,Rogue,39610,2016,20992,FALSE
291,Volvo,XC90,63135,2017,37688,FALSE
292,Kia,Optima,127914,2015,10500,FALSE
293,Ford,Explorer,22946,2020,51492,FALSE
294,Tesla,Model 3,30711,2018,53040,FALSE
295,Honda,CR-V,85525,2017,21800,FALSE
296,Ford,Explorer,82881,2018,30593,FALSE
297,Kia,Soul,60263,2016,18495,FALSE
298,INFINITI,QX60,39531,2019,34995,FALSE
299,Land Rover,LR4,114646,2015,24999,FALSE
300,Mercedes-Benz,C-Class,29557,2019,33980,FALSE
301,Honda,Civic,43288,2019,19890,FALSE
302,Ram,1500,35516,2019,37998,FALSE
303,Ford,Escape,20972,2017,25491,FALSE
304,BMW,i3,22936,2019,31935,FALSE
305,BMW,X5,36636,2018,40988,FALSE
306,Jeep,Wrangler,100239,2016,25991,FALSE
307,Toyota,Camry,38562,2018,23998,FALSE
308,Jeep,Wrangler,40949,2019,39597,FALSE
309,Hyundai,Elantra,61962,2018,15600,FALSE
310,Toyota,GR Supra,17346,2020,58295,FALSE
311,BMW,3 Series,145350,2014,12999,FALSE
312,Honda,CR-V,32265,2019,28998,FALSE
313,Ford,Escape,19304,2019,29992,FALSE
314,Porsche,Macan,31630,2018,47993,FALSE
315,Subaru,Ascent,9743,2020,45277,FALSE
316,Toyota,Corolla,63510,2019,22988,FALSE
317,Tesla,Model 3,33946,2020,51998,FALSE
318,BMW,4 Series,10016,2021,46795,FALSE
319,Lexus,NX,16549,2019,37998,FALSE
320,Honda,CR-V,17101,2020,31998,FALSE
321,Ford,Fusion,54257,2017,19998,FALSE
322,Mercedes-Benz,E-Class,79906,2013,18999,FALSE
323,Ford,F-150,82798,2018,36885,FALSE
324,Honda,Civic,51748,2018,21995,FALSE
325,Tesla,Model 3,18101,2019,51599,FALSE
326,Chevrolet,Cruze,59565,2016,14995,FALSE
327,BMW,X3,50937,2017,28998,FALSE
328,Chevrolet,Silverado 1500,8848,2019,40998,FALSE
329,smart,fortwo electric drive,20426,2018,15799,FALSE
330,Chrysler,Pacifica,51910,2020,27197,FALSE
331,Toyota,4Runner,23777,2019,45995,FALSE
332,Mercedes-Benz,E-Class,52073,2018,35488,FALSE
333,Jeep,Wrangler,16514,2016,39887,FALSE
334,Hyundai,Santa Fe,13854,2020,38267,FALSE
335,Mitsubishi,Outlander,36328,2018,27835,FALSE
336,Jeep,Wrangler,89698,2013,24995,FALSE
337,BMW,i3,25225,2018,24995,FALSE
338,BMW,X6,20269,2019,56997,FALSE
339,Jeep,Wrangler,45000,2020,37097,FALSE
340,Honda,Accord,59866,2018,26998,FALSE
341,Honda,Accord,77403,2013,15500,FALSE
342,Jeep,Gladiator,43706,2020,36397,FALSE
343,BMW,M3,27731,2018,68995,FALSE
344,Ford,Fusion,44511,2018,20998,FALSE
345,BMW,M4,36105,2018,60827,FALSE
346,Tesla,Model S,47714,2017,58492,FALSE
347,BMW,4 Series,17453,2019,43798,FALSE
348,BMW,X2,9785,2020,37727,FALSE
349,Honda,Civic,13690,2018,24595,FALSE
350,Jeep,Compass,41822,2020,25297,FALSE
351,Ford,Fusion,15753,2019,27991,FALSE
